측정소코드,date,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소,Latitude,Longitude
131201,11/2/2019,2019110213,0.00475,0.85,0.014625,0.044208333,87.41666667,37.66666667,경기 과천시 코오롱로 53,37.423889,126.9945116
131202,11/2/2019,2019110213,0.00375,0.770833333,0.016,0.041291667,87.66666667,38.16666667,경기 과천시 상하벌로 17,37.4488064,127.002329
131211,11/2/2019,2019110213,0.002791667,0.466666667,0.015458333,0.041916667,83.45833333,39.66666667,경기 구리시 아차산로 439,37.5944593,127.1297442
131212,11/2/2019,2019110213,0.002791667,0.583333333,0.0105,0.035166667,80.45833333,42.25,경기 구리시 동구릉로 217-14,37.6184502,127.1383205
131222,11/2/2019,2019110213,0.004333333,0.779166667,0.015541667,0.050833333,94.16666667,48.20833333,경기도 의왕시 덕영대로 166,37.322429,126.9574052
131223,11/2/2019,2019110213,0.003791667,0.670833333,0.018083333,0.040375,74.33333333,38.66666667,경기 의왕시 시청로 11,37.3448076,126.9687218
131231,11/2/2019,2019110213,0.005125,0.679166667,0.017416667,0.045916667,92.125,48.625,경기 시흥시 정왕대로 233번길 19,37.3468122,126.7400834
131232,11/2/2019,2019110213,0.006583333,0.729166667,0.022291667,0.042583333,92.16666667,43.95833333,경기 시흥시 공단1대로 204,37.3371763,126.7241038
131233,11/2/2019,2019110213,0.005166667,0.8625,0.0155,0.057666667,90.16666667,57.75,경기 시흥시 복지로 37,37.4430567,126.7884021
131241,11/2/2019,2019110213,0.002708333,0.825,0.01025,0.035083333,79.33333333,32.83333333,경기 남양주시 경춘로 1037,37.635612,127.2161882
131242,11/2/2019,2019110213,0.002333333,0.679166667,0.017458333,0.033833333,81.66666667,41.79166667,경기 남양주시 오남읍 진건오남로 806-34,37.6986717,127.2047293
131243,11/2/2019,2019110213,0.002875,0.6375,0.009125,0.043666667,76.29166667,41.75,경기 남양주시 별내중앙로 148,37.6529244,127.1158597
131244,11/2/2019,2019110213,0.003333333,0.691666667,0.013416667,0.032041667,82.66666667,43.91666667,경기 남양주시 화도읍 비룡로 59,37.6578222,127.3007017
131341,11/2/2019,2019110213,,,,,,,경기 평택시 중앙로 275,36.9921615,127.1127735
131342,11/2/2019,2019110213,0.004083333,0.416666667,0.021583333,0.032583333,87.04166667,47.45833333,경기 평택시 안중읍 안현로 400,36.9857025,126.9319394
131343,11/2/2019,2019110213,0.005875,0.391666667,0.022,0.029291667,96.79166667,43.66666667,경기 평택시 포승읍 평택항로184번길 38,36.9746048,126.8455396
131344,11/2/2019,2019110213,0.003916667,0.6375,0.019041667,0.035916667,90.95833333,42.25,경기 평택시 지산2로 113,37.0815628,127.0601154
131371,11/2/2019,2019110213,0.003833333,0.745833333,0.00925,0.036333333,88,48.29166667,경기 파주시 후곡로 13,37.756308,126.7738979
131372,11/2/2019,2019110213,0.003708333,0.5875,0.007416667,0.042041667,84.41666667,44,경기 파주시 와석순환로 470,37.7133199,126.7523421
131373,11/2/2019,2019110213,0.0018625,0.291666667,0.027,0.011083333,80.54166667,38.95833333,경기 파주시 군내면 통일촌길,37.9086753,126.7328022
131381,11/2/2019,2019110213,0.004375,0.745833333,0.01225,0.046625,76.875,36.875,경기 고양시 덕양구 화신로 148 행신배수지,37.6249148,126.8419307
131382,11/2/2019,2019110213,0.003916667,0.508333333,0.009958333,0.024458333,76.08333333,42.58333333,경기 고양시 일산동구 위시티로 151,37.6855139,126.8134414
131383,11/2/2019,2019110213,0.00475,0.7125,0.008583333,0.051916667,78.125,44.125,경기 고양시 일산동구 장항2동 888,37.6544418,126.7755376
131384,11/2/2019,2019110213,0.002708333,0.583333333,0.007916667,0.044375,77.5,38.29166667,경기 고양시 덕양구 신원2로 24,37.6743374,126.877559
131385,11/2/2019,2019110213,0.004458333,0.7375,0.0085,0.043791667,85.16666667,45.875,경기 고양시 일산서구 주엽로 104,37.6682874,126.7563992
131392,11/2/2019,2019110213,0.003,0.733333333,0.012916667,0.038125,86.625,40.91666667,경기 광주시 중앙로 128,37.4111587,127.2579705
131411,11/2/2019,2019110213,0.003625,0.683333333,0.017666667,0.040375,76.25,39.08333333,경기 용인시 처인구 금령로 50,37.2344735,127.2014077
131412,11/2/2019,2019110213,0.003083333,0.620833333,0.01475,0.041958333,85,35.45833333,경기 용인시 수지구 수지로 342번길3,37.3278713,127.0950572
131413,11/2/2019,2019110213,0.003833333,0.6375,0.018041667,0.042958333,90.75,41.04166667,경기 용인시 기흥구 관곡로 95,37.2802242,127.1151398
131414,11/2/2019,2019110213,0.003541667,0.758333333,,0.044833333,92.29166667,37.66666667,경기 용인시 기흥구 구갈동 505-3,37.2753236,127.1137437
131415,11/2/2019,2019110213,0.0035,0.608333333,0.018916667,0.023458333,90.875,40.16666667,경기 용인시 처인구 모현읍 독점로 31-6,37.3294787,127.2422761
131416,11/2/2019,2019110213,0.002916667,0.858333333,0.025291667,0.028375,91.625,47.20833333,경기 용인시 처인구 이동읍 경기동로 673,37.1410424,127.1961056
131417,11/2/2019,2019110213,0.001625,0.8125,0.019166667,0.019291667,99.08333333,52.29166667,경기 용인시 처인구 백암면 백암로185번길 8-11,37.1633853,127.3748183
131441,11/2/2019,2019110213,0.001183333,0.454166667,0.025916667,0.016425,100.125,58.75,경기 이천시 설성면 신필리,37.1341727,127.5488999
131442,11/2/2019,2019110213,0.003791667,0.679166667,0.018041667,0.030375,87.5,43.54166667,경기 이천시 영창로 163번길 28,37.2834841,127.4408551
131443,11/2/2019,2019110213,0.0025,0.591666667,0.015333333,0.017333333,85.33333333,50.45833333,경기 이천시 장호원읍 오남리 27,37.1142499,127.6296637
131451,11/2/2019,2019110213,0.001054167,0.6125,0.033208333,0.008375,78.25,29.875,경기 포천시 관인면,38.1576945,127.2511679
131453,11/2/2019,2019110213,0.005083333,0.75,0.016208333,0.016083333,95.45833333,45.125,경기 포천시 삼육사로 2186번길 11-15,37.85411,127.1590595
131454,11/2/2019,2019110213,0.003958333,0.608333333,0.027833333,0.01625,92.95833333,43,경기 포천시 일동면 화동로1099번길 30,37.961189,127.317272
131471,11/2/2019,2019110213,0.003333333,0.55,0.008791667,0.028916667,94.08333333,46.20833333,경기 김포시 돌문로 51,37.6193346,126.7167484
131472,11/2/2019,2019110213,0.004,0.545833333,0.00725,0.043,77.20833333,38.70833333,경기 김포시 고촌읍 신곡로 152,37.6067242,126.7628306
131473,11/2/2019,2019110213,0.002791667,0.520833333,0.016666667,0.030583333,77.16666667,44.5,경기도 김포시 월곶면 군하로 263,37.7084482,126.5601573
131501,11/2/2019,2019110213,0.005083333,0.6375,0.020041667,0.046666667,89.29166667,45.29166667,경기 군포시 산본로197번길 36,37.3536799,126.9451564
131502,11/2/2019,2019110213,0.004458333,0.5875,0.013416667,0.041333333,73.20833333,35.83333333,경기 군포시 청백리길 6,37.3616583,126.933641
131531,11/2/2019,2019110213,0.004208333,0.6375,0.022458333,0.040208333,90.20833333,42.95833333,경기 오산시 경기동로 51,37.1591931,127.0770596
131532,11/2/2019,2019110213,0.003416667,0.625,0.019458333,0.03526087,74.5,38.83333333,경기 오산시 금암로 7,37.1714454,127.0462795
131541,11/2/2019,2019110213,0.003458333,0.616666667,0.014708333,0.040833333,74.70833333,32.625,경기 하남시 대청로 10,37.5391091,127.2146082
131551,11/2/2019,2019110213,0.00575,0.55,0.018791667,0.029625,81.5,35.95833333,경기 화성시 남양읍 남양성지로 192-5,37.2114511,126.8240023
131552,11/2/2019,2019110213,0.006,0.554166667,0.022458333,0.033541667,92.5,53.375,경기 화성시 향남읍 발안로 89,37.1323558,126.920186
131553,11/2/2019,2019110213,0.005333333,0.720833333,0.02325,0.027608696,84.75,49.125,경기 화성시 동탄반석로 87,37.196921,127.0722999
131554,11/2/2019,2019110213,0.006291667,0.616666667,0.030791667,0.028041667,94.375,53.04166667,경기 화성시 우정읍 쌍봉로 109-14,37.0897973,126.8153798
131555,11/2/2019,2019110213,0.006375,0.55,0.034875,0.017833333,95.375,44.54166667,경기 화성시 동탄순환대로22길 13,37.199327,127.0970177
131561,11/2/2019,2019110213,0.003708333,0.645833333,0.012125,0.032583333,77.45833333,46,경기 양주시 백석읍 꿈나무로 199,37.7923901,126.9871678
131562,11/2/2019,2019110213,0.003083333,0.7,0.014041667,0.036166667,88.79166667,42.83333333,경기 양주시 고읍남로 205,37.7925771,127.0843348
131571,11/2/2019,2019110213,0.004708333,0.575,0.020333333,0.027166667,80.66666667,41.04166667,경기 동두천시 싸리말로 28,37.917603,127.0612905
131581,11/2/2019,2019110213,0.002375,0.645833333,0.027958333,0.023083333,106.7083333,52.95833333,경기 안성시 시청길 25,37.0078632,127.2798557
131591,11/2/2019,2019110213,0.004375,0.645833333,0.011041667,0.025375,87.58333333,59.75,경기 여주시 여흥로11번길 26,37.2986625,127.6289364
131601,11/2/2019,2019110213,0.002791667,0.525,0.023791667,0.013,59.70833333,29.95833333,경기 연천군 연천읍 차현로 58,38.096446,127.0763242
131611,11/2/2019,2019110213,0.004,0.583333333,0.017791667,0.013375,60.20833333,31.95833333,경기도 가평군 가평읍 석봉로 181,37.8312168,127.5097695
131621,11/2/2019,2019110213,0.002041667,0.633333333,0.019666667,0.015666667,82.375,37.20833333,경기 양평군 용문면 용문로 395,37.4872119,127.596191
132112,11/2/2019,2019110213,0.003041667,0.670833333,0.007875,0.024916667,88.375,43.125,강원 춘천시 중앙로길 135(중앙로 3가 67-1),37.8757473,127.7207644
132113,11/2/2019,2019110213,0.004,0.875,0.007708333,0.026916667,82.16666667,35.66666667,강원 춘천시 외솔길 17(석사동 322-1),37.8570697,127.7494966
132401,11/2/2019,2019110213,0.001641667,0.433333333,0.031458333,0.002329167,57.41666667,,강원 양구군 방산면 송현1리,38.2270041,127.9573884
132402,11/2/2019,2019110213,0.001875,0.625,0.02325,0.011208333,66.91666667,36.41666667,강원 양구군 양구읍 관공서로 33,38.1092109,127.9897018
221112,11/2/2019,2019110213,0.004625,0.3625,0.032458333,0.014,52.83333333,19.83333333,부산 중구 광복로 55번길 10,35.0999626,129.0304169
221131,11/2/2019,2019110213,0.005,0.4375,0.028458333,0.028208333,54.79166667,22.70833333,부산 동구 중앙대로349번길 14,35.1269822,129.0462732
221141,11/2/2019,2019110213,0.006708333,0.325,0.035916667,0.017166667,49.875,16.91666667,부산 영도구 전망로 24,35.0597259,129.0798403
221152,11/2/2019,2019110213,0.003708333,0.4125,0.025958333,0.0275,58.04166667,20.25,부산 진구 전포대로 209번길 26,35.1561824,129.063288
221162,11/2/2019,2019110213,0.003166667,0.4625,0.017291667,0.037708333,52.16666667,23.91666667,부산 동래구 중앙대로1335번길 38,35.207171,129.0763383
221163,11/2/2019,2019110213,,,0.022791667,0.019916667,55,17.875,부산 동래구 명장로 32,35.2047548,129.1043271
221172,11/2/2019,2019110213,0.003875,0.541666667,0.035833333,0.018041667,47.70833333,17.54166667,부산 남구 수영로 196번길 80,35.1303214,129.087685
221181,11/2/2019,2019110213,0.003833333,0.433333333,0.018791667,0.026791667,64.125,29.58333333,부산 사상구 대동로 205,35.1460848,128.9838273
221182,11/2/2019,2019110213,0.003083333,0.5125,0.024833333,0.027791667,56.91666667,26.08333333,부산 북구 덕천2길 10,35.2084015,129.0066425
221191,11/2/2019,2019110213,,,0.024708333,0.018958333,51.25,20.875,부산 금정구 청룡로 25,35.2752567,129.0898808
221192,11/2/2019,2019110213,0.004291667,0.291666667,0.032333333,0.017583333,50.54166667,28.45833333,부산 해운대구 양운로 91,35.1708897,129.1742254
221202,11/2/2019,2019110213,0.00475,0.416666667,0.022083333,0.024375,65.29166667,33.125,부산 사하구 장림로 161번길 2,35.0829924,128.9668748
221211,11/2/2019,2019110213,0.003291667,0.4625,0.018125,0.023625,58.29166667,25.08333333,부산강서구 체육공원로 43,35.2095518,128.9715381
221212,11/2/2019,2019110213,0.004125,0.4,0.024875,0.021291667,61.33333333,30.25,부산 강서구 녹산산단 382로 49번길 39,35.0866325,128.8639161
